event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,steer_present,accelerator_present,brake_present,steer,accelerator,brake
output_tick,11200000000,11200.0,11200.717951,11200000000,0,0.7295059999996738,0,1,1,1,1,1.0,0.0
output_tick,11300000000,11300.0,11300.296229,11300000000,0,0.3079890000008163,0,1,1,1,1,1.0,0.0
output_tick,11400000000,11400.0,11400.706073,11400000000,0,0.7182769999999437,0,1,1,1,1,1.0,0.0
output_tick,11500000000,11500.0,11500.765791,11500000000,0,0.7788839999993797,0,1,1,1,1,1.0,0.0
output_tick,11600000000,11600.0,11600.761565,11600000000,0,0.7737130000004981,0,1,1,1,1,1.0,0.0
output_tick,11700000000,11700.0,11700.744321,11700000000,0,0.7557469999992463,0,1,1,1,1,1.0,0.0
output_tick,11800000000,11800.0,11800.720428,11800000000,0,0.7319100000004255,0,1,1,1,1,1.0,0.0
output_tick,11900000000,11900.0,11900.741647,11900000000,0,0.7830169999997452,0,1,1,1,1,1.0,0.0
output_tick,12000000000,12000.0,12000.595719,12000000000,0,0.6071260000007896,0,1,1,1,1,1.0,0.0
output_tick,12100000000,12100.0,12100.741435,12100000000,0,0.7531579999995301,0,1,1,1,1,1.0,0.0
output_tick,12200000000,12200.0,12200.69034,12200000000,0,0.7026540000006207,0,1,1,1,1,1.0,0.0
output_tick,12300000000,12300.0,12300.723761,12300000000,0,0.7362799999991694,0,1,1,1,1,1.0,0.0
output_tick,12400000000,12400.0,12400.703795,12400000000,0,0.7159800000008545,0,1,1,1,1,1.0,0.0
output_tick,12500000000,12500.0,12500.711476,12500000000,0,0.723587000000407,0,1,1,1,1,1.0,0.0
output_tick,12600000000,12600.0,12600.337457,12600000000,0,0.3499759999995149,0,1,1,1,1,1.0,0.0
output_tick,12700000000,12700.0,12700.709338,12700000000,0,0.7252459999999701,0,1,1,1,1,1.0,0.0
output_tick,12800000000,12800.0,12800.304691,12800000000,0,0.3167460000004212,0,1,1,1,1,1.0,0.0
output_tick,12900000000,12900.0,12900.718312,12900000000,0,0.730385999999271,0,1,1,1,1,1.0,0.0
output_tick,13000000000,13000.0,13000.71116,13000000000,0,0.7232889999995677,0,1,1,1,1,1.0,0.0
output_tick,13100000000,13100.0,13100.741211,13100000000,0,0.7527109999991808,0,1,1,1,1,1.0,0.0
output_tick,13200000000,13200.0,13200.7203,13200000000,0,0.7315959999996267,0,1,1,1,1,1.0,0.0
output_tick,13300000000,13300.0,13300.299134,13300000000,0,0.3118190000004688,0,1,1,1,1,1.0,0.0
output_tick,13400000000,13400.0,13400.703551,13400000000,0,0.7147920000006707,0,1,1,1,1,1.0,0.0
output_tick,13500000000,13500.0,13500.701732,13500000000,0,0.7135099999995873,0,1,1,1,1,1.0,0.0
output_tick,13600000000,13600.0,13600.664914,13600000000,0,0.6763580000006186,0,1,1,1,1,1.0,0.0
output_tick,13700000000,13700.0,13700.297913,13700000000,0,0.30909799999972165,0,1,1,1,1,1.0,0.0
output_tick,13800000000,13800.0,13800.695498,13800000000,0,0.7079969999995228,0,1,1,1,1,1.0,0.0
output_tick,13900000000,13900.0,13900.721086,13900000000,0,0.7325490000002901,0,1,1,1,1,1.0,0.0
output_tick,14000000000,14000.0,14000.313864,14000000000,0,0.32432599999992817,0,1,1,1,1,1.0,0.0
output_tick,14100000000,14100.0,14100.725651,14100000000,0,0.7368920000008075,0,1,1,1,1,1.0,0.0
output_tick,14200000000,14200.0,14200.753888,14200000000,0,0.7661279999992985,0,1,1,1,1,1.0,0.0
output_tick,14300000000,14300.0,14300.738291,14300000000,0,0.750901999999769,0,1,1,1,1,1.0,0.0
output_tick,14400000000,14400.0,14400.720454,14400000000,0,0.7325830000008864,0,1,1,1,1,1.0,0.0
